	Ambigious	Bias	Name	Oppositgender	WikiName
380	0	male	Klavierstimmer	Klavierstimmerin	Klavierstimmer
381	0	male	Rabbiner	Rabbinerin	Rabbiner
382	0	male	Revolverdreher	Revolverdreherin	Revolverdreher
383	0	male	Klavier- und Cembalobauer	Klavier- und Cembalobauerin	Klavier- und Cembalobauer
384	0	male	Elektromechaniker	Elektromechanikerin	Elektromechaniker
385	0	male	Kommunikationselektroniker	Kommunikationselektronikerin	Kommunikationselektroniker
386	0	male	Synchronsprecher	Synchronsprecherin	Synchronsprecher
387	0	male	Cutter	Cutterin	Cutter (Film)
388	0	male	Finanzmakler	Finanzmaklerin	Finanzmakler
389	0	male	Datenschutzbeauftragter	Datenschutzbeauftragte	Datenschutzbeauftragter
390	0	male	Revierjäger	Revierjägerin	Revierjäger
391	0	male	Fremdsprachenassistent	Fremdsprachenassistentin	Fremdsprachenassistent
392	0	male	Hausmeister	Hausmeisterin	Hausmeister
393	0	male	Färber	Färberin	Färber
394	0	male	Wärme-, Kälte- und Schallschutzisolierer	Wärme-, Kälte- und Schallschutzisoliererin	Wärme-, Kälte- und Schallschutzisolierer
395	0	male	Verpackungsmittelmechaniker	Verpackungsmittelmechanikerin	Verpackungsmittelmechaniker
396	0	male	Wirtschaftsassistent	Wirtschaftsassistentin	Wirtschaftsassistent
397	0	male	Moderator	Moderatorin	Moderator (Beruf)
398	0	male	Sportfachmann	Sportfachfrau	Sportfachmann
399	0	male	Maschinen- und Anlagenführer	Maschinen- und Anlagenführerin	Maschinen- und Anlagenführer
400	0	male	Fahrzeuginnenausstatter	Fahrzeuginnenausstatterin	Fahrzeuginnenausstatter
401	0	male	Jäger	Jägerin	Jäger
402	0	male	Automechatroniker	Automechatronikerin	Automobil-Mechatroniker
403	0	male	Illusionist	Illusionistin	Illusionist
404	0	male	Kettengoldschmied	Kettengoldschmiedin	Kettenschmied
405	0	male	Skipper	Skipperin	Skipper
406	0	male	Kraftwerker	Kraftwerkerin	Kraftwerker
407	0	male	Altenpfleger	Altenpflegerin	Altenpfleger
408	0	male	Personalreferent	Personalreferentin	Personalreferent
409	0	male	Angestellter	Angestellte	Angestellter
410	0	male	Fraud-Analyst	Fraud-Analystin	Fraud-Analyst
411	0	male	Einrichtungsfachberater	Einrichtungsfachberaterin	Einrichtungsberater
412	0	male	Versicherungsfachmann	Versicherungsfachfrau	Versicherungsfachmann
413	0	male	Teilezurichter	Teilezurichterin	Teilezurichter
414	0	male	Privatdozent	Privatdozentin	Privatdozent
415	0	male	Landwirtschaftlich-technischer Assistent	Landwirtschaftlich-technische Assistentin	Landwirtschaftlich-technischer Assistent
416	0	male	Energieelektroniker	Energieelektronikerin	Energieelektroniker
417	0	male	Systeminformatiker	Systeminformatikerin	Systeminformatiker
418	0	male	Drechsler	Drechslerin	Drechsler
419	0	male	Fachangestellter für Markt- und Sozialforschung	Fachangestellte für Markt- und Sozialforschung	Fachangestellter für Markt- und Sozialforschung
420	0	male	Chemiker	Chemikerin	Chemiker
421	0	male	Veranstaltungskaufmann	Veranstaltungskauffrau	Veranstaltungskaufmann
422	0	male	Funkelektroniker	Funkelektronikerin	Funkelektroniker
423	0	male	Justizwachtmeister	Justizwachtmeisterin	Justizwachtmeister
424	0	male	Biologiemodellmacher	Biologiemodellmacherin	Biologiemodellmacher
425	0	male	Ausbildungsberater	Ausbildungsberaterin	Ausbildungsberater
426	0	male	Medientechnologe Siebdruck	Medientechnologin Siebdruck	Medientechnologe Siebdruck
427	0	neutral	Audiodesigner	Audiodesignerin	Audiodesign
428	0	male	Fußballtrainer	Fußballtrainerin	Fußballtrainer
429	0	male	Maurer	Maurerin	Maurer
430	1	male	Referent	Referentin	Referent
431	0	male	Drahtwarenmacher	Drahtwarenmacherin	Drahtwarenmacher
432	0	male	Heilpraktiker	Heilpraktikerin	Heilpraktiker
433	0	male	Rechtspfleger	Rechtspflegerin	Rechtspfleger
434	0	male	Pastoralreferent	Pastoralreferentin	Pastoralreferent
435	0	male	Teamleiter	Teamleiterin	Teamleiter
436	0	male	Betriebsingenieur	Betriebsingenieurin	Betriebsingenieur
437	0	male	Tierarzt	Tierärztin	Tierarzt
438	0	male	Immobilienkaufmann	Immobilienkauffrau	Immobilienkaufmann
439	0	male	Animateur	Animateurin	Animateur
440	0	male	Feintäschner	Feintäschnerin	Feintäschner
441	0	male	Schneider	Schneiderin	Schneider
442	0	male	Saaldiener	Saaldienerin	Saaldiener
443	0	male	Federmacher	Federmacherin	Federmacher
444	0	male	Schlafwagenschaffner	Schlafwagenschaffnerin	Schlafwagenschaffner
445	0	male	Medizinischer Fachangestellter	Medizinische Fachangestellte	Medizinischer Fachangestellter
446	0	male	Rohrleitungsbauer	Rohrleitungsbauerin	Rohrleitungsbauer
447	0	male	Tierheilpraktiker	Tierheilpraktikerin	Tierheilpraktiker
448	0	male	Kraftfahrer	Kraftfahrerin	Kraftfahrer
449	0	male	Ausbaufacharbeiter	Ausbaufacharbeiterin	Ausbaufacharbeiter
450	0	male	Bohrwerkdreher	Bohrwerkdreherin	Bohrwerkdreher
451	0	neutral	Dekorationenmaler	Dekorationenmalerin	Dekorationsmalerei
452	0	male	Bühnenmaler	Bühnenmalerin	Bühnenmaler
453	0	male	Regisseur	Regisseurin	Regisseur
454	0	male	Schiffsingenieur	Schiffsingenieurin	Schiffsingenieur
455	0	male	Systemprogrammierer	Systemprogrammiererin	Systemprogrammierer
456	0	male	Fachapotheker	Fachapothekerin	Fachapotheker
457	0	male	Flachglasmechaniker	Flachglasmechanikerin	Flachglasmechaniker
458	0	male	Rettungshelfer	Rettungshelferin	Rettungshelfer
459	0	male	Video-Journalist	Video-Journalistin	Videojournalist
460	0	female	Hebamme	Entbindungspfleger	Hebamme
461	0	male	Fassadenmonteur	Fassadenmonteurin	Fassadenmonteur
462	0	male	Orthopädietechnik-Mechaniker	Orthopädietechnik-Mechanikerin	Orthopädietechnik-Mechaniker
463	0	male	Seegüterkontrolleur	Seegüterkontrolleurin	Seegüterkontrolleur
464	0	male	Schmied	Schmiedin	Schmied
465	0	male	Verlagskaufmann	Verlagskauffrau	Verlagskaufmann
466	0	male	Fachverkäufer im Lebensmittelhandwerk (Fleischerei)	Fachverkäuferin im Lebensmittelhandwerk (Fleischerei)	Fachverkäufer im Lebensmittelhandwerk (Fleischerei)
467	0	male	Gehilfe	Gehilfin	Gehilfe
468	0	male	Film-Regisseur	Film-Regisseurin	Filmregisseur
469	0	male	Orchesterwart	Orchesterwartin	Orchesterwart
470	0	neutral	Mönch	Nonne	Mönchtum
471	0	neutral	Nonne	Mönch	Nonne
472	0	male	Scherer	Schererin	Scherer
473	0	male	Listbroker	Listbrokerin	Listbroker
474	0	male	Kurator	Kuratorin	Kurator
475	0	male	Fachtierarzt	Fachtierärztin	Fachtierarzt
476	0	male	Lehrrettungsassistent	Lehrrettungsassistentin	Lehrrettungsassistent
477	0	male	Flexograf	Flexografin	Flexograf
478	0	male	Gardemanger	Gardemangerin	Gardemanger
479	0	male	Hörgeräteakustiker	Hörgeräteakustikerin	Hörgeräteakustiker
480	0	male	Handschuhmacher	Handschuhmacherin	Handschuhmacher
481	0	male	Bezirksleiter	Bezirksleiterin	Bezirksamtsleiter
482	0	male	Imker	Imkerin	Imker
483	0	male	Stallmeister	Stallmeisterin	Stallmeister
484	0	male	Werkzeugmacher	Werkzeugmacherin	Werkzeugmacher
485	0	male	Dompteur	Dompteuse	Dompteur
486	0	male	Porzellanmaler	Porzellanmalerin	Porzellanmaler
487	0	male	Patentingenieur	Patentingenieurin	Patentingenieur
488	0	male	Online-Redakteur	Online-Redakteurin	Online-Redakteur
489	0	male	Edelsteingraveur	Edelsteingraveurin	Edelsteingraveur
490	0	male	Steuerfachangestellter	Steuerfachangestellte	Steuerfachangestellter
491	0	male	Nachtportier	Nachtportierin	Nachtportier
492	0	male	Chefarzt	Chefärztin	Chefarzt
493	0	male	Tiefbaufacharbeiter	Tiefbaufacharbeiterin	Tiefbaufacharbeiter
494	0	male	Steinbildhauer	Steinbildhauerin	Steinbildhauer
495	0	male	Sozialmanager	Sozialmanagerin	Sozialmanager
496	0	male	Fluggerätmechaniker	Fluggerätmechanikerin	Fluggerätmechaniker
497	0	male	Büromaschinenmechaniker	Büromaschinenmechanikerin	Büromaschinenmechaniker
498	0	male	Baugeräteführer	Baugeräteführerin	Baugeräteführer
499	0	male	Holzfäller	Holzfällerin	Holzfäller
500	0	male	Entwicklungshelfer	Entwicklungshelferin	Entwicklungshelfer
501	0	male	Soziologe	Soziologin	Soziologe
502	0	male	Technischer Konfektionär	Technische Konfektionärin	Technischer Konfektionär
503	0	male	Kapitän	Kapitänin	Kapitän
504	0	male	Dolmetscher	Dolmetscherin	Dolmetscher
505	0	male	Denkmaltechnischer Assistent	Denkmaltechnische Assistentin	Denkmaltechnischer Assistent
506	0	male	Liedermacher	Liedermacherin	Liedermacher
507	0	male	Gewässerschutzbeauftragter	Gewässerschutzbeauftragte	Gewässerschutzbeauftragter
508	0	male	Zimmererpolier	Zimmererpolierin	Zimmerpolier
509	0	male	Metallschleifer	Metallschleiferin	Metallschleifer
510	0	male	Leichtflugzeugbauer	Leichtflugzeugbauerin	Leichtflugzeugbauer
511	1	male	Lektor	Lektorin	Lektor
512	0	male	Sekretär	Sekretärin	Sekretär
513	0	male	Abfallbeauftragter	Abfallbeauftragte	Abfallbeauftragter
514	0	male	Fotograf	Fotografin	Fotograf
515	0	male	Glaser	Glaserin	Glaser
516	0	male	Orgel- und Harmoniumbauer	Orgel- und Harmoniumbauerin	Orgel- und Harmoniumbauer
517	0	male	Restaurator	Restauratorin	Restaurator
518	0	male	Betriebsinformatiker	Betriebsinformatikerin	Betriebsinformatiker
519	0	male	Landwirt	Landwirtin	Landwirt
520	0	male	Schilder- und Lichtreklamehersteller	Schilder- und Lichtreklameherstellerin	Schilder- und Lichtreklamehersteller
521	0	male	Klempner	Klempnerin	Klempner
522	0	male	Isolierfacharbeiter	Isolierfacharbeiterin	Isolierfacharbeiter
523	0	male	Küchenchef	Küchenchefin	Küchenchef
524	0	male	Tonassistent	Tonassistentin	Tonassistent
525	0	male	Glasmacher	Glasmacherin	Glasmacher
526	0	male	Kindheitspädagoge	Kindheitspädagogin	Kindheitspädagoge
527	0	male	Steinmetz	Steinmetzin	Steinmetz
528	0	male	Schleusenwärter	Schleusenwärterin	Schleusenwärter
529	0	male	Industriemeister	Industriemeisterin	Industriemeister
530	0	male	Maschinenführer	Maschinenführerin	Maschinenführer
531	0	male	Rollladen- und Sonnenschutztechnikermeister	Rollladen- und Sonnenschutztechnikermeisterin	Sonnenschutztechniker
532	0	male	Technischer Systemplaner	Technische Systemplanerin	Technischer Systemplaner
533	0	male	Polier	Polierin	Polier
534	0	male	Diätassistent	Diätassistentin	Diätassistent
535	0	male	Amtsanwalt	Amtsanwältin	Amtsanwalt
536	0	male	Poissonnier	Poissonnierin	Poissonnier
537	0	male	Bildredakteur	Bildredakteurin	Bildredakteur
538	0	male	Fallmanager	Fallmanagerin	Fallmanager
539	0	male	Gerüstbauer	Gerüstbauerin	Gerüstbauer
540	0	male	Maschinenzusammensetzer	Maschinenzusammensetzerin	Maschinenzusammensetzer
541	0	male	Desinfektor	Desinfektorin	Desinfektor
542	0	male	Laborant	Laborantin	Laborant
543	1	male	Fachmann	Fachfrau	Fachmann
544	0	male	Buchbinder	Buchbinderin	Buchbinder
545	0	male	Baustoffprüfer	Baustoffprüferin	Baustoffprüfer
546	0	male	Techniker	Technikerin	Techniker
547	0	male	Luftsicherheitsbeauftragter	Luftsicherheitsbeauftragte	Luftsicherheitsbeauftragter
548	0	male	Betriebswirt	Betriebswirtin	Betriebswirt
549	0	male	Kinderpfleger	Kinderpflegerin	Kinderpfleger
550	0	male	Rauchwarenzurichter	Rauchwarenzurichterin	Rauchwarenzurichter
551	0	male	Werkfeuerwehrmann	Werkfeuerwehrfrau	Werkfeuerwehrmann
552	0	male	Pantomime	Pantomimin	Pantomime
553	0	male	Galvaniseur	Galvaniseurin	Galvaniseur
554	0	male	Reiseverkehrskaufmann	Reiseverkehrskauffrau	Reiseverkehrskaufmann
555	0	male	Krankenpfleger	Krankenschwester	Krankenpfleger
556	0	male	Mediengestalter	Mediengestalterin	Mediengestalter
557	0	male	Wissenschaftlicher Mitarbeiter	Wissenschaftliche Mitarbeiterin	Wissenschaftlicher Mitarbeiter
558	0	male	Brückenwärter	Brückenwärterin	Brückenwärter
559	0	male	Kunstkritiker	Kunstkritikerin	Kunstkritiker
560	0	male	Braumeister	Braumeisterin	Braumeister
561	0	male	Versicherungsvertreter	Versicherungsvertreterin	Versicherungsvertreter
562	0	male	Holzspielzeugmacher	Holzspielzeugmacherin	Holzspielzeugmacher
563	0	male	Prozessleitelektroniker	Prozessleitelektronikerin	Prozessleitelektroniker
564	0	male	Hauslehrer	Hauslehrerin	Hauslehrer
565	0	male	Karosserie- und Fahrzeugbaumechaniker	Karosserie- und Fahrzeugbaumechanikerin	Karosserie- und Fahrzeugbaumechaniker
566	0	male	Informatikkaufmann	Informatikkauffrau	Informatikkaufmann
567	0	male	Schwimmmeister	Schwimmmeisterin	Schwimmmeister
568	0	male	Pressesprecher	Pressesprecherin	Pressesprecher
569	0	neutral	Bote	Botin	Bote
570	1	neutral	Botin	Bote	Botin
571	0	male	Justizfachangestellter	Justizfachangestellte	Justizfachangestellter
572	0	male	Gruppenleiter	Gruppenleiterin	Gruppenleiter
573	0	male	Zahntechniker	Zahntechnikerin	Zahntechniker
574	0	neutral	Ordensbruder	Ordensschwester	Ordensbruder
575	0	neutral	Ordensschwester	Ordensbruder	Ordensschwester
576	0	male	Fachverkäufer im Lebensmittelhandwerk (Bäckerei)	Fachverkäuferin im Lebensmittelhandwerk (Bäckerei)	Fachverkäufer im Lebensmittelhandwerk (Bäckerei)
577	0	male	Handelsvertreter	Handelsvertreterin	Handelsvertreter
578	0	male	Mitarbeiter	Mitarbeiterin	Mitarbeiter
579	0	male	Strahlenschutzbeauftragter	Strahlenschutzbeauftragte	Strahlenschutzbeauftragter
580	0	male	Wachleiter	Wachleiterin	Wachleiter
581	0	male	Geograph	Geographin	Geograph
582	0	male	Kanalbauer	Kanalbauerin	Kanalbauer
583	0	male	Geigenbauer	Geigenbauerin	Geigenbauer
584	0	male	Produktprüfer Textil	Produktprüferin Textil	Produktprüfer Textil
585	0	male	Expedient	Expedientin	Expedient
586	0	male	Spielzeughersteller	Spielzeugherstellerin	Spielzeughersteller
587	0	male	Bootsbauer	Bootsbauerin	Bootsbauer
588	0	male	Landmaschinenmechaniker	Landmaschinenmechanikerin	Landmaschinenmechaniker
589	0	male	Dozent	Dozentin	Dozent
590	0	male	Umweltschutztechnischer Assistent	Umweltschutztechnische Assistentin	Umweltschutztechnischer Assistent
591	0	male	Technischer Assistent	Technische Assistentin	Technischer Assistent
