	language_label	profession	wikipedia_link	image_link
504	ar	Philosoph	http://ar.wikipedia.org/wiki/%D9%81%D9%8A%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
505	ar	Philosoph	http://ar.wikipedia.org/wiki/%D9%81%D9%8A%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/6/61/Crystal_Clear_app_kdict.png
506	az	Philosoph	http://az.wikipedia.org/wiki/Filosof	http://upload.wikimedia.org/wikipedia/commons/3/31/La_scuola_di_Atene.jpg
507	bar	Philosoph	http://bar.wikipedia.org/wiki/Philosoph	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
508	be	Philosoph	http://be.wikipedia.org/wiki/%D0%A4%D1%96%D0%BB%D0%BE%D1%81%D0%B0%D1%84%D1%8B	http://upload.wikimedia.org/wikipedia/commons/9/98/Sanzio_01_Plato_Aristotle.jpg
509	be-x-old	Philosoph	http://be-x-old.wikipedia.org/wiki/%D0%A4%D1%96%D0%BB%D1%91%D0%B7%D0%B0%D1%84	-
510	bg	Philosoph	http://bg.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/2/2c/Broom_icon.svg
511	bh	Philosoph	http://bh.wikipedia.org/wiki/%E0%A4%A6%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B6%E0%A4%A8%E0%A4%BF%E0%A4%95	-
512	bn	Philosoph	http://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8%E0%A6%BF%E0%A6%95	http://upload.wikimedia.org/wikipedia/commons/4/4a/Plato-raphael.jpg
513	bn	Philosoph	http://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8%E0%A6%BF%E0%A6%95	http://upload.wikimedia.org/wikipedia/commons/d/d6/Wikiquote-logo-en.svg
514	bn	Philosoph	http://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8%E0%A6%BF%E0%A6%95	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
515	bn	Philosoph	http://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8%E0%A6%BF%E0%A6%95	http://upload.wikimedia.org/wikipedia/commons/1/11/Francis_Bacon%2C_Viscount_St_Alban_from_NPG_%282%29.jpg
516	bn	Philosoph	http://bn.wikipedia.org/wiki/%E0%A6%A6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8%E0%A6%BF%E0%A6%95	http://upload.wikimedia.org/wikipedia/commons/5/54/Confucius_Tang_Dynasty.jpg
517	ckb	Philosoph	http://ckb.wikipedia.org/wiki/%D9%81%DB%95%DB%8C%D9%84%DB%95%D8%B3%D9%88%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
518	cs	Philosoph	http://cs.wikipedia.org/wiki/Filosof	http://upload.wikimedia.org/wikipedia/commons/9/9b/PortalPhilosophers.jpg
519	cs	Philosoph	http://cs.wikipedia.org/wiki/Filosof	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
520	cs	Philosoph	http://cs.wikipedia.org/wiki/Filosof	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
521	diq	Philosoph	http://diq.wikipedia.org/wiki/Filozof	http://upload.wikimedia.org/wikipedia/commons/3/31/La_scuola_di_Atene.jpg
522	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg
523	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
524	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png
525	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/2/24/Wikinews-logo.svg
526	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/f/fa/Wikibooks-logo.svg
527	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/6/66/Angela_Davis_en_Bogot%C3%A1%2C_Septiembre_de_2010.jpg
528	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/9/98/Philbar_2.png
529	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/6/67/Langer.Susanne.foto_2.jpg
530	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg
531	en	Philosoph	http://en.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg
532	eo	Philosoph	http://eo.wikipedia.org/wiki/Filozofo	-
533	et	Philosoph	http://et.wikipedia.org/wiki/Filosoof	http://upload.wikimedia.org/wikipedia/commons/3/37/Auguste_Rodin_-_Grubleren_2005-02.jpg
534	eu	Philosoph	http://eu.wikipedia.org/wiki/Filosofo	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
535	fa	Philosoph	http://fa.wikipedia.org/wiki/%D9%81%DB%8C%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/3/33/Iranian_Farabi.jpg
536	fa	Philosoph	http://fa.wikipedia.org/wiki/%D9%81%DB%8C%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/4/4d/Roger_Scruton.jpg
537	fa	Philosoph	http://fa.wikipedia.org/wiki/%D9%81%DB%8C%D9%84%D8%B3%D9%88%D9%81	http://upload.wikimedia.org/wikipedia/commons/2/2d/Plat%C3%B3n_Academia_de_Atenas.png
538	fi	Philosoph	http://fi.wikipedia.org/wiki/Filosofi	http://upload.wikimedia.org/wikipedia/commons/d/d6/Wikiquote-logo-en.svg
539	fi	Philosoph	http://fi.wikipedia.org/wiki/Filosofi	http://upload.wikimedia.org/wikipedia/commons/2/29/UWASocrates_gobeirne_cropped.jpg
540	fi	Philosoph	http://fi.wikipedia.org/wiki/Filosofi	http://upload.wikimedia.org/wikipedia/commons/0/0f/IconEcaterina.jpeg
541	fi	Philosoph	http://fi.wikipedia.org/wiki/Filosofi	http://upload.wikimedia.org/wikipedia/commons/5/51/Rembrandt_Harmensz._van_Rijn_038-crop.jpg
542	fi	Philosoph	http://fi.wikipedia.org/wiki/Filosofi	http://upload.wikimedia.org/wikipedia/commons/a/a3/Le_Philosophe_-_Ernest_Meissonier.jpg
543	fr	Philosoph	http://fr.wikipedia.org/wiki/Philosophe	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
544	fr	Philosoph	http://fr.wikipedia.org/wiki/Philosophe	http://upload.wikimedia.org/wikipedia/commons/3/3e/Disambig_colour.svg
545	fy	Philosoph	http://fy.wikipedia.org/wiki/Filosoof	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
546	he	Philosoph	http://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%9C%D7%95%D7%A1%D7%95%D7%A3	http://upload.wikimedia.org/wikipedia/commons/2/24/Wiktionary-logo-he.png
