_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949854,false,finalized,3,3/25/2016 13:44:54,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/a/a0/Lotsenstation_Bremerhaven.JPG,,,,,,,,
882949855,false,finalized,3,3/25/2016 13:45:02,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/e/ea/Harbour_pilot_boarding.jpg,,,,,,,,
882949856,false,finalized,3,3/25/2016 13:45:31,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/de/2/2f/Industriebuchbinderei.jpg,,,,,,,,
882949857,false,finalized,3,3/25/2016 13:45:31,no_person,0.6476,,,,,,0,http://upload.wikimedia.org/wikipedia/commons/6/64/Buchbinder_0287.png,,,,,,,,
882949858,false,finalized,3,3/25/2016 13:46:24,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/f/f0/Buchbinder.jpg,,,,,,,,
882949859,false,finalized,3,3/25/2016 13:48:09,several_persons_but_one_persons_depiction_is_dominant,0.3611,,0,male,0.3611,,,http://upload.wikimedia.org/wikipedia/commons/4/45/Buchbinder_1880.jpg,,,,,,,,
882949860,false,finalized,3,3/25/2016 15:35:13,image_is_not_shown,0.6562,,,,,,,http://upload.wikimedia.org/wikipedia/commons/4/4f/2015-11-06_Buchbinder_bei_der_Arbeit_auf_der_Messe_Schriftgut.webm,,,,,,,,
882949861,false,finalized,3,3/25/2016 13:46:05,several_persons_but_one_persons_depiction_is_dominant,0.3474,,0,male,0.3474,,,http://upload.wikimedia.org/wikipedia/commons/4/4a/Buchbinder-1568.png,,,,,,,,
882949862,false,finalized,3,3/25/2016 13:45:17,several_persons_no_single_persons_depiction_is_dominant,0.6562,only_male,0.6562,,0,,,http://upload.wikimedia.org/wikipedia/commons/6/61/AbrahamS.Clara.Buchbinder.jpg,,,,,,,,
882949863,false,finalized,3,3/25/2016 15:35:13,several_persons_no_single_persons_depiction_is_dominant,0.6562,mixed_equal_amount_of_male_and_female_persons,0.6562,,0,,,http://upload.wikimedia.org/wikipedia/commons/0/02/DBP_1987_1318_Jugend_Buchbinder.jpg,,,,,,,,
882949864,false,finalized,3,3/25/2016 13:46:21,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/b/b4/EismaschineBoku.JPG,,,,,,,,
