	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	Bias	page_exist	label
113	Berufe in der Süßwarenherstellung	57.6938758868	2926	29262	42.3061241132	12263.0	Süßwarentechnologe	male	only male	male
114	Berufe physikalisch-techn. Laboratorium	32.4723846654	4141	41412	67.5276153346	6156.0	Physikalisch-technischer Assistent	male	only male	male
115	Berufe i. d. Hochschullehre, -forschung	42.812488391	8430	84304	57.187511609	188431.0	Privatdozent	male	only male	male
116	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71401	20.5556416084	1969075.0	Datentypist	male	only male	male
117	Berufe in der Werkstofftechnik	19.3917391602	4142	41422	80.6082608398	14599.0	Edelmetallprüfer	male	only male	male
118	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Netzelektriker	male	only male	male
119	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Systeminformatiker	male	only male	male
120	Berufe im Kunst- und Antiquitätenhandel	70.4447632712	6252	62522	29.5552367288	697.0	Galerist	male	only male	male
121	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71303	37.8399775209	935981.0	Technischer Betriebswirt	male	only male	male
122	Berufe im Bereich Glücks- und Wettspiel	18.8318693173	9434	94342	81.1681306827	6489.0	Schausteller	male	only male	male
123	Bankkaufleute	59.7982510844	7211	72113	40.2017489156	501911.0	Fachwirt	male	only male	male
124	Aufsicht und Führung - Gastronomie	46.9442078365	6339	63393	53.0557921635	18784.0	Restaurantmeister	male	only male	male
125	Weinküfer/innen	12.1335504886	2912	29122	87.8664495114	1228.0	Weinküfer	male	only male	male
126	Berufe Drechslerei, Spielzeugherstellung	60.4	9333	93332	39.6	750.0	Drechsler	male	only male	male
127	Aufsicht - Hochbau	1.0979692033	3219	32193	98.9020307967	22405.0	Werkpolier	male	only male	male
128	Berufe in Theologie,Gemeindearbeit (ssT)	67.8608515057	8338	83384	32.1391484943	15408.0	Missionar	male	only male	male
129	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71402	20.5556416084	1969075.0	Fachangestellter für Bürokommunikation	male	only male	male
130	Führer Erdbewegungs-,verwandte Maschinen	0.2800140007	5252	52522	99.7199859993	48569.0	Baugeräteführer	male	only male	male
131	Sport-, Fitnesskaufleute, Sportmanager	45.0848688391	6312	63122	54.9151311609	11017.0	Sport- und Fitnesskaufmann	male	only male	male
132	Köche/Köchinnen (s.s.T.)	56.8326947637	2938	29382	43.1673052363	1566.0	Diätkoch	male	only male	male
133	Berufe in der Erziehungswissenschaft	74.5593544277	9133	91334	25.4406455723	37672.0	Pädagoge	male	only male	male
