	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Datenschutzbeauftragter	8	1	9	0.888888888889	57.9327818764	Datenschutzbeauftragter	male	male	female	26838.0	0.111111111111	15548.0	11290.0
Datenverarbeitungskaufmann	1	0	1	1.0	25.5314765985	Datenverarbeitungskaufmann	male	male	male	24272.0	0.0	6196.99999999	18075.0
Dekorationsmalerei	15	0	15	1.0	70.9736680955	Dekorationsmalerei	neutral	neutral	female	3266.0	0.0	2318.0	948.000000001
Denkmaltechnischer Assistent	2	0	2	1.0	13.1957960296	Denkmaltechnischer Assistent	male	male	male	2569.0	0.0	339.0	2230.0
Desinfektor	1	0	1	1.0	13.1873479319	Desinfektor	male	male	male	2055.0	0.0	271.000000001	1784.0
Detektiv	19	3	22	0.863636363636	14.3413873733	Detektiv	male	male	male	2566.0	0.136363636364	367.999999999	2198.0
Diakon	19	3	22	0.863636363636	58.6139959235	Diakon	neutral	male	female	10303.0	0.136363636364	6039.0	4264.0
Diakonin	16	6	22	0.727272727273	58.6139959235	Diakonin	neutral	female	female	10303.0	0.272727272727	6039.0	4264.0
Dichter	5	0	5	1.0	47.7832512315	Dichter	male	male	male	812.0	0.0	388.0	424.0
Diener	33	7	40	0.825	93.6919095072	Diener	male	male	female	190866.0	0.175	178826.0	12040.0
Dirigent	12	8	20	0.6	27.8372591006	Dirigent	male	male	male	934.0	0.4	260.0	674.0
Disponent	1	0	1	1.0	21.3708058503	Disponent	male	male	male	52305.0	0.0	11178.0	41127.0
Dokumentar	1	0	1	1.0	62.5742942051	Dokumentar	male	male	female	10768.0	0.0	6738.00000001	4029.99999999
Dolmetscher	1	0	1	1.0	69.8481848185	Dolmetscher	male	male	female	7575.0	0.0	5291.0	2284.0
Dompteur	14	6	20	0.7	41.5165165165	Dompteur	male	male	male	1332.0	0.3	553.0	779.0
Dramatiker	6	0	6	1.0	51.4743851067	Dramatiker	male	male	female	7359.0	0.0	3788.0	3571.0
Dramaturg	21	0	21	1.0	51.4743851067	Dramaturg	male	male	female	7359.0	0.0	3788.0	3571.0
Drechsler	6	1	7	0.857142857143	60.4	Drechsler	male	male	female	750.0	0.142857142857	453.0	297.0
Drehbuchautor	7	0	7	1.0	47.7832512315	Drehbuchautor	male	male	male	812.0	0.0	388.0	424.0
Drogist	6	0	6	1.0	96.3538976351	Drogist	male	male	female	89054.0	0.0	85807.0	3247.00000004
