	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	f_name
212	Angehörige geistl. Orden, Mutterhäuser	62.5711035267	8333	83333	37.4288964733	879.0	Abt	Äbtissin
213	Berufe im Kundenmanagement	43.2484932485	9213	92133	56.7515067515	95238.0	Account-Manager	Account-Managerin
214	Berufe im Beton- und Stahlbetonbau	0.723795907426	3211	32112	99.2762040926	33573.0	Schalungsbauer	Schalungsbauerin
215	Servicefachkräfte Straßen-,Schienenverk.	54.3373493976	5141	51412	45.6626506024	14110.0	Kaufmann für Verkehrsservice	Kauffrau für Verkehrsservice
216	Berufe in der Steuerberatung	76.2525479477	7230	72304	23.7474520523	172688.0	Steuerberater	Steuerberaterin
217	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94534	73.4763166611	12076.0	Toningenieur	Toningenieurin
218	Berufe Anlagen-, Behälter-, Apparatebau	3.29425467804	3434	34342	96.705745322	39493.0	Anlagenmechaniker	Anlagenmechanikerin
219	Berufe in der Dachdeckerei	0.400729968205	3214	32142	99.5992700318	53153.0	Strohdachdecker	Strohdachdeckerin
220	Berufe im Objekt-,Werte-, Personenschutz	31.0871031175	5311	53112	68.9128968825	212059.0	Pförtner	Pförtnerin
221	Berufe tech. Produktionsplan.,-steuerung	15.718731148	2730	27304	84.281268852	230413.0	Betriebsingenieur	Betriebsingenieurin
222	Tierärzte/-ärztinnen (o.S.)	72.8797953964	8150	81504	27.1202046036	9775.0	Tierarzt	Tierärztin
223	Berufe in der Justizverwaltung	93.3804860355	7325	73253	6.61951396445	16542.0	Justizfachwirt	Justizfachwirtin
224	Technische Konfektionäre, Segelmacher	54.8604292327	2823	28232	45.1395707673	7129.0	Schirmmacher	Schirmmacherin
225	Berufe in der Mechatronik	6.22845803015	2611	26112	93.7715419698	57446.0	Mechatroniker	Mechatronikerin
226	Berufe in der biologischen Präparation	51.5706806283	4122	41222	48.4293193717	1146.0	Präparator	Präparatorin
227	Berufe in der Fleischverarbeitung	13.9570504204	2923	29232	86.0429495796	63982.0	Fleischer	Fleischerin
228	Komponisten/Komponistinnen	31.8181818182	9414	94144	68.1818181818	22.0	Komponist	Komponistin
229	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Industrietechnologe	Industrietechnologin
230	Berufe in der Lagerwirtschaft	24.9768310941	5131	51311	75.0231689059	1265705.0	Hafenarbeiter	Hafenarbeiterin
231	Berufe i.d. schleifenden Metallbearbeit.	6.28800778399	2422	24222	93.711992216	32888.0	Schleifer	Schleiferin
232	Maschinen- und Anlagenführer/innen	12.501779731	2512	25122	87.498220269	210706.0	Heizer	Heizerin
233	Animateur/innen, Gästebetreuer/innen	67.550274223	6313	63132	32.449725777	8752.0	Animateur	Animateurin
234	Berufe in der Textilveredlung	20.9806780897	2814	28142	79.0193219103	5486.0	Scherer	Schererin
235	Berufe i.d. öffentlichen Verwaltung (oS)	74.1246797609	7320	73202	25.8753202391	471913.0	Verwaltungsfachangestellter	Verwaltungsfachangestellte
236	Berufe Bauplanung u. -überwachung (o.S.)	22.5084770306	3110	31103	77.4915229694	82871.0	Bautechniker	Bautechnikerin
237	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Schneider	Schneiderin
238	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94532	73.4763166611	12076.0	Film- und Videoeditor	Film- und Videoeditorin
239	Aufsicht,Führung-Produktionsplan,steuer.	7.61356849122	2739	27393	92.3864315088	145661.0	Handwerksmeister	Handwerksmeisterin
240	Berufe im Gerichtsvollzug	27.2030651341	5323	53233	72.7969348659	1305.0	Gerichtsvollzieher	Gerichtsvollzieherin
241	IT-Netzwerkt.,-Koord.,-Admin.,-Org.(ssT)	16.5119285462	4338	43384	83.4880714538	8509.0	Fraud-Analyst	Fraud-Analystin
242	Berufe in der Fototechnik	57.881773399	2331	23312	42.118226601	4060.0	Filmkopienfertiger	Filmkopienfertigerin
243	Berufe in der Anthropologie, Ethnologie	64.6258503401	9126	91264	35.3741496599	147.0	Ethnologe	Ethnologin
244	Brauer/innen und Mälzer/innen	3.84404173531	2911	29112	96.1559582647	5463.0	Biersieder	Biersiederin
245	Berufe im Hotelservice	79.2351889413	6322	63222	20.7648110587	141499.0	Hotelfachmann	Hotelfachfrau
246	Berufe Sozialverwaltung, versicherung	76.9933233157	7321	73212	23.0066766843	129106.0	Sozialversicherungsfachangestellter	Sozialversicherungsfachangestellte
247	Berufe im Polizeivollzugsdienst	52.8379772962	5321	53213	47.1620227038	1938.0	Polizeivollzugsbeamter	Polizeivollzugsbeamtin
248	Technische Konfektionäre, Segelmacher	54.8604292327	2823	28232	45.1395707673	7129.0	Polster- und Dekorationsnäher	Polster- und Dekorationsnäherin
249	Berufe in der Pferdewirtschaft (o.S.)	60.9494015234	1130	11302	39.0505984766	7352.0	Pferdewirt	Pferdewirtin
250	Dolmetscher/innen und Übersetzer/innen	69.8481848185	7142	71423	30.1518151815	7575.0	Sprachmittler	Sprachmittlerin
251	Berufe in der Kartografie	47.4680548982	3122	31224	52.5319451018	2113.0	Kartograf	Kartografin
252	Berufe in der Textilgestaltung	84.0716305372	2811	28112	15.9283694628	2122.0	Produktgestalter Textil	Produktgestalterin Textil
253	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Büchsenmacher	Büchsenmacherin
254	Medizinische Fachangestellte (o.S.)	99.0361286221	8110	81102	0.963871377867	377540.0	Medizinischer Fachangestellter	Medizinische Fachangestellte
255	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Änderungsschneider	Änderungsschneiderin
256	Berufe im Metallbau	2.2858399983	2441	24412	97.7141600017	281822.0	Konstruktionsmechaniker	Konstruktionsmechanikerin
257	Anlageberater u. sonst. Finanzdienstl.	44.3380220021	7212	72124	55.6619779979	36542.0	Fondsmanager	Fondsmanagerin
258	Führung - Werbung und Marketing	39.301264773	9219	92194	60.698735227	9646.0	Werbeleiter	Werbeleiterin
259	Berufe Immobilienvermarktung,-verwaltung	57.0449103969	6131	61312	42.9550896031	55132.0	Immobilienkaufmann	Immobilienkauffrau
260	Berufe in Moderation, Unterhaltung (ssT)	30.9090909091	9438	94383	69.0909090909	385.0	Bauchredner	Bauchrednerin
261	Berufe technische Qualitätssicherung	27.7924731183	2731	27313	72.2075268817	186000.0	Qualitätsbeauftragter	Qualitätsbeauftragte
262	Fachärzte/innen in der Inneren Medizin	54.1590254126	8142	81424	45.8409745874	15268.0	Facharzt	Fachärztin
263	Tiermedizin und Tierheilkunde	73.8573730179	815	81532	26.1426269821	11793.0	Tierheilpraktiker	Tierheilpraktikerin
264	Bankkaufleute	59.7982510844	7211	72112	40.2017489156	501911.0	Bankkaufmann	Bankkauffrau
265	Berufe betriebl. Ausbildung, Berufspäd.	33.7182984156	8422	84223	66.2817015844	34462.0	Ausbilder	Ausbilderin
266	Berufe im Tiefbau (o.S.)	2.56153858974	3220	32204	97.4384614103	60003.0	Tiefbauingenieur	Tiefbauingenieurin
267	Berufe in der Forstwirtschaft	5.09963399756	1171	11712	94.9003660024	24590.0	Forstfacharbeiter	Forstfacharbeiterin
268	Berufe in der Lagerwirtschaft	24.9768310941	5131	51311	75.0231689059	1265705.0	Kraftfahrer	Kraftfahrerin
269	Berufe Estrich- und Terrazzoverlegung	0.557103064067	3312	33122	99.4428969359	4308.0	Ausbaufacharbeiter	Ausbaufacharbeiterin
270	Berufe im Klavier- und Cembalobau	16.3310961969	9364	93642	83.6689038031	894.0	Klavierbauer	Klavierbauerin
271	Museumsberufe (o.S.)	67.3256247669	9470	94704	32.6743752331	2681.0	Kurator	Kuratorin
272	Berufe im Vertrieb (außer IKT)	34.1969853683	6112	61123	65.8030146317	462146.0	Handelsvertreter	Handelsvertreterin
273	Berufe kunsthandwerkl. Metallgestaltung	14.0532544379	9351	93512	85.9467455621	676.0	Gürtler	Gürtlerin
274	Berufe im Hotelservice	79.2351889413	6322	63222	20.7648110587	141499.0	Portier	Portierin
275	Berufe Back-, Konditoreiwarenherstell.	29.4110759864	2922	29222	70.5889240136	76869.0	Bäcker	Bäckerin
276	Berufe Dokumentations,Informationsdienst	62.5742942051	7333	73334	37.4257057949	10768.0	Dokumentar	Dokumentarin
277	Berufe in Theologie,Gemeindearbeit (ssT)	67.8608515057	8338	83382	32.1391484943	15408.0	Küster	Küsterin
278	Berufe Überwachung Luftverkehrsbetrieb	30.8085212408	5153	51532	69.1914787592	8027.0	Ramp-Agent	Ramp-Agentin
279	Kunststoff-,Kautschukherstellung (o.S.)	26.7465962203	2210	22102	73.2534037797	221445.0	Schweißer	Schweißerin
280	Maschinen-, Gerätezusammensetzer/innen	21.0325537037	2511	25112	78.9674462963	171962.0	Maschinenzusammensetzer	Maschinenzusammensetzerin
281	Berufe im Brunnenbau	0.531914893617	3224	32242	99.4680851064	2256.0	Brunnenbauer	Brunnenbauerin
282	Gewässer-Immissionsschutz,Abfallbeauftr.	26.1261261261	4232	42324	73.8738738739	555.0	Immissionsschutzbeauftragter	Immissionsschutzbeauftragte
283	Piloten und Verkehrsflugzeugführer	6.46539170954	5231	52313	93.5346082905	10301.0	Pilot	Pilotin
284	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24232	97.2622971764	195675.0	Kopierfräser	Kopierfräserin
285	Berufe tech. Forschung, Entwicklung (oS)	12.2531548471	2710	27104	87.7468451529	213798.0	Berechnungsingenieur	Berechnungsingenieurin
286	Medizinisch-techn.Berufe im Laboratorium	90.9643696925	8121	81214	9.03563030748	66769.0	Arzt	Ärztin
287	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Modist	Modistin
288	Berufe kunsthandwerkl. Keramikgestaltung	25.7394587791	9341	93412	74.2605412209	3178.0	Keramiker	Keramikerin
289	Berufe i.d. Bühnen- und Kostümbildnerei	70.9736680955	9461	94612	29.0263319045	3266.0	Bühnenmaler	Bühnenmalerin
290	Aufsicht und Führung - Landwirtschaft	16.2258392675	1119	11194	83.7741607325	3932.0	Inspektor	Inspektorin
291	Berufe in Werbung und Marketing	54.6682417799	9211	92113	45.3317582201	152370.0	Kommunikationswirt	Kommunikationswirtin
292	Berufe technisch. Schiffsverkehrsbetrieb	3.8146208153	5113	51134	96.1853791847	8782.0	Schiffsingenieur	Schiffsingenieurin
293	Berufe in Wirtschaftswissenschaften (oS)	45.1293759513	9140	91404	54.8706240487	7884.0	Volkswirt	Volkswirtin
294	Anlageberater u. sonst. Finanzdienstl.	44.3380220021	7212	72122	55.6619779979	36542.0	Investmentfondskaufmann	Investmentfondskauffrau
295	Berufe Digital-, Printmediengestaltung	50.1462693284	2321	23212	49.8537306716	62214.0	Fotogravurzeichner	Fotogravurzeichnerin
296	Verlags- und Medienkaufleute (s.s.T.)	60.5296610169	9238	92384	39.4703389831	9440.0	Literaturagent	Literaturagentin
297	Medizin.-techn. Berufe Veterinärmedizin	87.6854599407	8124	81243	12.3145400593	674.0	Veterinäringenieur	Veterinäringenieurin
298	Berufe in der Wachszieherei	71.2530712531	9335	93352	28.7469287469	814.0	Wachszieher	Wachszieherin
299	Berufe in der Kraftfahrzeugtechnik	3.97341840672	2521	25212	96.0265815933	347308.0	Kfz-Mechatroniker	Kfz-Mechatronikerin
300	Handelsmakler/innen u. Auktionator/innen	39.2475851551	6113	61133	60.7524148449	1967.0	Makler	Maklerin
301	Verlags- und Medienkaufleute (o.S.)	65.0971858153	9230	92304	34.9028141847	20219.0	Medienwirt	Medienwirtin
302	Berufe i. d. Hochschullehre, -forschung	42.812488391	8430	84304	57.187511609	188431.0	Honorarprofessor	Honorarprofessorin
303	Servicefachkräfte im Luftverkehr	78.2033652524	5142	51422	21.7966347476	39997.0	Bodensteward	Bodenstewardess
304	Berufe in der Unternehmensberatung	26.911058483	7132	71324	73.088941517	60804.0	Unternehmensberater	Unternehmensberaterin
305	Berufe in der Gemeindearbeit	58.6139959235	8332	83323	41.3860040765	10303.0	Gemeindereferent	Gemeindereferentin
306	Berufe im Berg- und Tagebau	7.26492128967	2111	21112	92.7350787103	23758.0	Fördermaschinist	Fördermaschinistin
307	Berufe i.d. öffentlichen Verwaltung (oS)	74.1246797609	7320	73203	25.8753202391	471913.0	Verwaltungsbetriebswirt	Verwaltungsbetriebswirtin
308	Lehrkräfte für berufsbildende Fächer	63.6176386302	8421	84214	36.3823613698	55832.0	Ingenieurpädagoge	Ingenieurpädagogin
309	Berufe in der Schuhherstellung	37.8797535585	2833	28332	62.1202464415	9414.0	Schuh- und Lederwarenstepper	Schuh- und Lederwarenstepperin
310	Führung - Redaktion und Journalismus	31.7397555715	9249	92494	68.2602444285	2782.0	Chefredakteur	Chefredakteurin
311	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Edelsteinfasser	Edelsteinfasserin
312	Berufe im Musikfachhandel	33.5901386749	6253	62532	66.4098613251	649.0	Musikfachhändler	Musikfachhändlerin
313	Berufe in der Glasveredelung	22.984008166	2134	21342	77.015991834	11756.0	Flachglasmechaniker	Flachglasmechanikerin
314	Fahrzeugführer im Straßenverkehr(s.s.T.)	10.9479201806	5218	52182	89.0520798194	115611.0	Servicefahrer	Servicefahrerin
315	Berufe in der klinischen Psychologie	77.9567882775	8162	81624	22.0432117225	26752.0	Psychologe	Psychologin
316	Berufe im Streich-, Zupfinstrumentenbau	29.8076923077	9361	93612	70.1923076923	416.0	Geigenbauer	Geigenbauerin
317	Schauspieler/innen	44.0665569574	9421	94214	55.9334430426	5469.0	Synchronsprecher	Synchronsprecherin
318	Berufe Immobilienvermarktung,-verwaltung	57.0449103969	6131	61313	42.9550896031	55132.0	Immobilienmakler	Immobilienmaklerin
319	Luftverkehrskaufleute	35.0604490501	5164	51642	64.9395509499	2316.0	Luftverkehrskaufmann	Luftverkehrskauffrau
320	Maschinen- und Anlagenführer/innen	12.501779731	2512	25122	87.498220269	210706.0	Kesselwärter	Kesselwärterin
321	Berufe im Berg- und Tagebau	7.26492128967	2111	21112	92.7350787103	23758.0	Berg- und Maschinenmann	Berg- und Maschinenfrau
322	Berufe in der Isolierung	1.2101210121	3331	33312	98.7898789879	11817.0	Wärme-, Kälte- und Schallschutzisolierer	Wärme-, Kälte- und Schallschutzisoliererin
323	Berufe i.d.Lebensmittelherstellung (ssT)	39.4550784618	2928	29282	60.5449215382	5799.0	Kaffeeröster	Kaffeerösterin
324	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92412	49.4391584587	71678.0	Video-Journalist	Video-Journalistin
325	Berufe Veranstalt.-Kamera-,Tontech.(ssT)	5.76271186441	9458	94582	94.2372881356	295.0	Pyrotechniker	Pyrotechnikerin
326	Berufe Sattlerei, Herst. Lederutensilien	48.3291210334	2832	28322	51.6708789666	3561.0	Feintäschner	Feintäschnerin
327	Berufe in der Jagdwirtschaft, Wildhege	9.27835051546	1173	11732	90.7216494845	388.0	Wildheger	Wildhegerin
328	Wasserstraßen- und Brückenwärter/innen	7.47126436782	5124	51242	92.5287356322	522.0	Brückenwärter	Brückenwärterin
329	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24232	97.2622971764	195675.0	Bohrwerkdreher	Bohrwerkdreherin
330	Berufe im Produkt- und Industriedesign	34.9566605839	9310	93102	65.0433394161	8768.0	Gestaltungstechnischer Assistent	Gestaltungstechnische Assistentin
331	Produktion v. Fertigprodukten aus Holz	6.89245395128	2233	22332	93.1075460487	5049.0	Holzmechaniker	Holzmechanikerin
332	Servicefachkräfte im Luftverkehr	78.2033652524	5142	51422	21.7966347476	39997.0	Flugbegleiter	Flugbegleiterin
333	Berufe im Vertrieb (außer IKT)	34.1969853683	6112	61123	65.8030146317	462146.0	Verleger	Verlegerin
334	Fremdsprachensekretäre,-korrespondenten	89.5453170683	7141	71412	10.4546829317	9919.0	Fremdsprachensekretär	Fremdsprachensekretärin
335	Berufe in Philosophie, Religion, Ethik	54.4837441944	9121	91214	45.5162558056	2799.0	Philosoph	Philosophin
336	Verkauf drogerie-,apothekenübliche Waren	96.3538976351	6241	62412	3.64610236486	89054.0	Drogist	Drogistin
337	Berufe im Güter- und Warenumschlag	14.3576367827	5133	51332	85.6423632173	16486.0	Seegüterkontrolleur	Seegüterkontrolleurin
338	Berufe im Metallbau	2.2858399983	2441	24412	97.7141600017	281822.0	Schmied	Schmiedin
339	Berufe Digital-, Printmediengestaltung	50.1462693284	2321	23212	49.8537306716	62214.0	Dekorvorlagenhersteller	Dekorvorlagenherstellerin
340	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Messerschmied	Messerschmiedin
341	Berufe in der Personaldienstleistung	66.3964145433	7152	71524	33.6035854567	99290.0	Ausbildungsberater	Ausbildungsberaterin
342	Kaufleute im Automatenservice	31.1041666667	6114	61142	68.8958333333	4800.0	Automatenfachmann	Automatenfachfrau
343	Aufsicht,Führung-Lagerw.Zustell.Güterum.	10.4299504862	5139	51393	89.5700495138	28073.0	Logistikmeister	Logistikmeisterin
344	Aufsicht,Führung-Objekt-,Brandschutz	14.3865948534	5319	53193	85.6134051466	8355.0	Werkschutzleiter	Werkschutzleiterin
345	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Modenäher	Modenäherin
346	Berufe in der Mathematik (o.S.)	34.0704906704	4110	41104	65.9295093296	2894.0	Mathematiker	Mathematikerin
347	Tourismuskaufleute	82.1267850182	6311	63112	17.8732149818	56442.0	Tourismuskaufmann	Tourismuskauffrau
348	Berufe im Veranstaltungsservice,-manag.	58.3260838046	6340	63401	41.6739161954	27588.0	Saaldiener	Saaldienerin
349	Berufe in der Steuerberatung	76.2525479477	7230	72302	23.7474520523	172688.0	Gehilfe	Gehilfin
350	Berufe in der Theologie	30.0088759784	8331	83314	69.9911240216	12393.0	Pastoralreferent	Pastoralreferentin
351	Berufe in der Regie	50.9119332986	9441	94414	49.0880667014	1919.0	Film-Regisseur	Film-Regisseurin
352	Berufe nicht ärztliche Psychotherapie	78.1458251666	8163	81634	21.8541748334	5102.0	Psychoanalytiker	Psychoanalytikerin
353	Berufe Veranstaltungs- und Bühnentechnik	12.5905136121	9451	94512	87.4094863879	17815.0	Orchesterwart	Orchesterwartin
354	Fahrlehrer/innen	13.4048438238	8451	84513	86.5951561762	14823.0	Fahrlehrer	Fahrlehrerin
355	Berufe in Wirtschaftsprüfung	38.28113879	7224	72244	61.71886121	28100.0	Wirtschaftsprüfer	Wirtschaftsprüferin
356	Berufe in der Arabistik, Orientalistik	53.3333333333	9115	91154	46.6666666667	15.0	Orientalist	Orientalistin
357	Führung - Hochschullehre und -forschung	29.7738693467	8439	84394	70.2261306533	796.0	Vizepräsident	Vizepräsidentin
358	Berufe Bauplanung u. -überwachung (o.S.)	22.5084770306	3110	31104	77.4915229694	82871.0	Baumeister	Baumeisterin
359	Tourismuskaufleute	82.1267850182	6311	63112	17.8732149818	56442.0	Reiseverkehrskaufmann	Reiseverkehrskauffrau
360	Verlags- und Medienkaufleute (s.s.T.)	60.5296610169	9238	92384	39.4703389831	9440.0	Listbroker	Listbrokerin
361	Berufe im Holz- und Bautenschutz	1.22249388753	3324	33242	98.7775061125	1636.0	Holz- und Bautenschützer	Holz- und Bautenschützerin
362	Assistenz Rechtsanwaltskanzlei,Notariat	94.3062952197	7311	73113	5.69370478029	94262.0	Bürovorsteher	Bürovorsteherin
363	Berufe operations-/med.-techn. Assistenz	77.7285201604	8133	81332	22.2714798396	9474.0	Anästhesietechnischer Assistent	Anästhesietechnische Assistentin
364	Berufe in der Kosmetik	96.4716412286	8232	82322	3.52835877143	21228.0	Visagist	Visagistin
365	Berufe in der Lebensmittelkontrolle	35.3913466213	5333	53333	64.6086533787	4114.0	Lebensmittelkontrolleur	Lebensmittelkontrolleurin
366	Servicefachkräfte im Luftverkehr	78.2033652524	5142	51422	21.7966347476	39997.0	Purser	Purserette
367	Tierärzte/-ärztinnen (o.S.)	72.8797953964	8150	81504	27.1202046036	9775.0	Fachtierarzt	Fachtierärztin
368	Berufe in der Landwirtschaft (o.S.)	21.5765899789	1110	11101	78.4234100211	124357.0	Landarbeiter	Landarbeiterin
369	Fachärzte Neurol.,Psychiatr.,Psychother.	63.8102442187	8146	81464	36.1897557813	9254.0	Assistenzarzt	Assistenzärztin
370	BerufeSchauspielTanz,Bewegungskunst(ssT)	41.5165165165	9428	94283	58.4834834835	1332.0	Stuntman	Stuntwoman
371	Berufe in der Kraftfahrzeugtechnik	3.97341840672	2521	25212	96.0265815933	347308.0	Karosserie- und Fahrzeugbaumechaniker	Karosserie- und Fahrzeugbaumechanikerin
372	Rechtsanwälte/-anwältinnen	46.2251399884	7313	73134	53.7748600116	31074.0	Patentanwalt	Patentanwältin
373	Weinküfer/innen	12.1335504886	2912	29122	87.8664495114	1228.0	Weinhandelsküfer	Weinhandelsküferin
374	Berufe in der Haus- und Familienpflege	81.0310203384	8314	83142	18.9689796616	46808.0	Sozialassistent	Sozialassistentin
375	Lehrkräfte für berufsbildende Fächer	63.6176386302	8421	84214	36.3823613698	55832.0	Fachlehrer	Fachlehrerin
376	Berufe für Maler- und Lackiererarbeiten	5.53319493285	3321	33212	94.4668050672	141618.0	Tapezierer	Tapeziererin
377	Berufe in der Werkstofftechnik	19.3917391602	4142	41422	80.6082608398	14599.0	Werkstoffprüfer	Werkstoffprüferin
378	Lehrkräfte für berufsbildende Fächer	63.6176386302	8421	84213	36.3823613698	55832.0	Lehrrettungsassistent	Lehrrettungsassistentin
379	Berufe kunsthandwerkl. Metallgestaltung	14.0532544379	9351	93512	85.9467455621	676.0	Kunstschmied	Kunstschmiedin
380	Berufe tech. Forschung, Entwicklung (oS)	12.2531548471	2710	27103	87.7468451529	213798.0	Entwickler	Entwicklerin
381	Berufe technische Mediengestaltung (ssT)	44.0740740741	2328	23282	55.9259259259	270.0	Flexograf	Flexografin
382	Vor-, Kalt- und Süßspeisenköche/innen	55.289532294	2931	29312	44.710467706	1796.0	Gardemanger	Gardemangerin
383	Kunstmaler/innen, Zeichner/innen	48.7741935484	9332	93323	51.2258064516	775.0	Kupferstecher	Kupferstecherin
384	Berufe in der Religionspädagogik	77.6637554585	8442	84424	22.3362445415	4580.0	Religionslehrer	Religionslehrerin
385	Berufe für Maler- und Lackiererarbeiten	5.53319493285	3321	33212	94.4668050672	141618.0	Maler und Lackierer	Malerin und Lackiererin
386	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Edelsteinschleifer	Edelsteinschleiferin
387	Berufe in der Elektrotechnik (o.S.)	25.5998730188	2630	26304	74.4001269812	220505.0	Elektroingenieur	Elektroingenieurin
388	Berufe in der Hörgeräteakustik	66.1900571931	8253	82532	33.8099428069	9092.0	Hörgeräteakustiker	Hörgeräteakustikerin
389	Notare/Notarinnen	48.031496063	7312	73124	51.968503937	2794.0	Notar	Notarin
390	Berufe Sattlerei, Herst. Lederutensilien	48.3291210334	2832	28322	51.6708789666	3561.0	Handschuhmacher	Handschuhmacherin
391	Führung-Versicherung-,Finanzdienstleist.	21.2482255121	7219	72194	78.7517744879	19724.0	Bezirksleiter	Bezirksleiterin
392	Berufe Überwachung Luftverkehrsbetrieb	30.8085212408	5153	51533	69.1914787592	8027.0	Fluglotse	Fluglotsin
393	Berufe in der Imkerei	28.5714285714	1123	11232	71.4285714286	126.0	Imker	Imkerin
394	Berufe in der Fahrzeuglackierung	6.22029488291	2221	22212	93.7797051171	28825.0	Fahrzeuglackierer	Fahrzeuglackiererin
395	Ärzte/Ärztinnen (s.s.T.)	57.2999620781	8148	81484	42.7000379219	10548.0	Stationsarzt	Stationsärztin
396	Berufe im Friseurgewerbe	91.9347511287	8231	82312	8.06524887135	140876.0	Friseur	Friseurin
397	Berufe in der Forstwirtschaft	5.09963399756	1171	11711	94.9003660024	24590.0	Holzfäller	Holzfällerin
398	Berufe in der Tierpflege (s.s.T.)	67.2918572736	1158	11582	32.7081427264	2186.0	Stallmeister	Stallmeisterin
399	Berufe im Gleisbau	0.642715886618	3223	32232	99.3572841134	6068.0	Gleisbauer	Gleisbauerin
400	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Zinngießer	Zinngießerin
401	Gewässer-Immissionsschutz,Abfallbeauftr.	26.1261261261	4232	42324	73.8738738739	555.0	Gewässerschutzbeauftragter	Gewässerschutzbeauftragte
402	Berufe in der Glasveredelung	22.984008166	2134	21342	77.015991834	11756.0	Glasschneider	Glasschneiderin
403	Berufe in der Raumausstattung	40.0455860437	9323	93232	59.9544139563	11407.0	Raumausstatter	Raumausstatterin
404	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Werkzeugmacher	Werkzeugmacherin
405	Verlags- und Medienkaufleute (o.S.)	65.0971858153	9230	92302	34.9028141847	20219.0	Medienkaufmann	Medienkauffrau
406	Berufe im Uhrmacherhandwerk	31.7169069463	2453	24532	68.2830930537	3052.0	Uhrmacher	Uhrmacherin
407	Berufe in der Physik (o.S.)	16.2575709276	4140	41404	83.7424290724	9411.0	Physiker	Physikerin
408	Berufe im Buchhandel	83.0677624958	6251	62512	16.9322375042	11924.0	Buchhändler	Buchhändlerin
409	Berufe in der Schuhherstellung	37.8797535585	2833	28332	62.1202464415	9414.0	Schuhfertiger	Schuhfertigerin
410	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Chemielaborant	Chemielaborantin
411	Berufe pharmazeutisch-techn. Assistenz	96.8602491956	8182	81822	3.13975080443	70547.0	Apothekerassistent	Apothekerassistentin
412	Berufe in der Fleischverarbeitung	13.9570504204	2923	29232	86.0429495796	63982.0	Kopfschlächter	Kopfschlächterin
413	BerufeSchauspielTanz,Bewegungskunst(ssT)	41.5165165165	9428	94283	58.4834834835	1332.0	Dompteur	Dompteuse
414	Schiffsführer Binnen-,Hafenverkehr	5.69221386461	5242	52422	94.3077861354	4919.0	Ewerführer	Ewerführerin
415	Aufsicht,Führung-TheaterFilm,Fernsehprod	40.1872883044	9449	94494	59.8127116956	5019.0	Künstlerischer Leiter	Künstlerische Leiterin
416	Berufe in der Badeaufsicht	39.2836746349	5314	53142	60.7163253651	12257.0	Fachangestellter für Bäderbetriebe	Fachangestellte für Bäderbetriebe
417	Berufe tech.Forschung, Entwicklung (ssT)	19.2801844836	2718	27184	80.7198155164	12142.0	Patentingenieur	Patentingenieurin
418	Berufe in der Tierwirtschaft (s.s.T.)	31.1584553928	1128	11283	68.8415446072	751.0	Futtermeister	Futtermeisterin
419	Berufe in der Pelzbe- und -verarbeitung	65.6862745098	2834	28342	34.3137254902	306.0	Kürschner	Kürschnerin
420	Berufe in der Augenoptik	76.7466540888	8252	82522	23.2533459112	33922.0	Augenoptiker	Augenoptikerin
421	Berufe in der Altenpflege (o.S.)	85.0894719246	8210	82101	14.9105280754	502504.0	Altenpflegehelfer	Altenpflegehelferin
422	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Literat	Literatin
423	Berufe für Stuckateurarbeiten	0.919488674591	3322	33222	99.0805113254	17836.0	Stuckateur	Stuckateurin
424	Tätowierer/innen und Piercer/innen	41.125	8233	82332	58.875	800.0	Tätowierer	Tätowiererin
425	Berufe im Verkauf (KFZ, Zweirad,Zubehör)	21.0800227373	6227	62272	78.9199772627	79165.0	Automobilkaufmann	Automobilkauffrau
426	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81302	15.0403278222	807755.0	Gesundheits- und Krankenpfleger	Gesundheits- und Krankenpflegerin
