,all_men,men_-17th,men_17-18th,men_18-19th,men_1900_1940,men_1940,men_1960,all_women,women_-17th,women_17-18th,women_18-19th,women_1900_1940,women_1940,women_1960,m_ratio,m_ratio_1960,m_ratio_1940,m_ratio_1900_1940,m_ratio_18-19th,m_ratio_17-18th,m_ratio_-17th,m_ratio_before1960
Dirigent,5.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.625,0.0,0.0,,0.5,,1.0,0.833333333333
Dompteur,7.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.5,0.5,0.5,0.75,1.0,,0.75
Dramatiker,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,,1.0
Dramaturg,18.0,0.0,3.0,1.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
Drechsler,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,1.0,1.0
Drehbuchautor,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Drogist,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,1.0
Ethnologe,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666666667,1.0,0.666666666667,,,,,0.5
Ewerführer,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,,,,1.0
Fachangestellter für Medien- und Informationsdienste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Fachkraft für Automatenservice,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,,,,,0.0
Feldwebel,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Feuerungs- und Schornsteinbauer,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Filmgeschäftsführung,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Filmregisseur,19.0,0.0,0.0,7.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,,1.0
Filmvorführer,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,1.0
Fleischer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,1.0
Flugbegleiter,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Formstecher,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,1.0
Forstwirt,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
