,l_m_without_outliers,NormalizedGoogleDif2,Bias2,const
Kinder- und Jugendlichenpsychotherapeut,78.1458251666,0.058495821727,0,1
Klassenlehrer,70.4238331399,0.0691244239631,0,1
Klavier- und Cembalobauer,16.3310961969,0.885207652823,0,1
Klavierbauer,16.3310961969,0.942557502086,0,1
Klavierstimmer,16.3310961969,0.96613872201,0,1
Klebfachingenieur,20.1141507577,0.91884057971,0,1
Klempner,1.24864495925,0.997392461817,0,1
Koch,52.9232533486,0.948092234516,0,1
Komiker,54.5454545455,0.74875484228,0,1
Kommunikationselektroniker,11.4381605553,0.936376210235,0,1
Kommunikationswirt,54.6682417799,0.20186697783,0,1
Komparse,41.5165165165,0.646464646465,0,1
Komponist,31.8181818182,0.88298778756,0,1
Konservator,45.4646222058,0.905441570027,0,1
Konstrukteur,12.2194707453,0.941326862244,0,1
Konstruktionsmechaniker,2.2858399983,0.928934010152,0,1
Kopfschlächter,13.9570504204,0.993055555556,0,1
Kopierfräser,2.73770282356,0.999264976112,0,1
Korbmacher,59.0717299578,0.944076770351,0,1
Korrektor,76.9957343083,0.933139534884,0,1
Korrepetitor,35.5086372361,0.615894039735,0,1
Kraftfahrer,24.9768310941,0.980198019802,0,1
Kraftwerker,6.16331126919,0.964579901153,0,1
Kriminologe,48.3720930233,0.525809273841,0,1
Kunsthistoriker,67.3256247669,0.338867924528,0,1
Kunstkritiker,50.5608415413,0.718822979916,0,1
Kunstschmied,14.0532544379,0.969464269582,0,1
Kunststoffformgeber,26.7465962203,0.937282229965,0,1
Kupferschmied,3.29425467804,0.979742173112,0,1
Kupferstecher,48.7741935484,0.975149265774,0,1
Kurator,67.3256247669,0.743709771796,0,1
Kutscher,15.3005464481,0.985175636481,0,1
Küchenchef,18.02864773,0.911652703732,0,1
Küchenmeister,18.02864773,0.95276840643,0,1
Künstler,54.5947166403,0.794325077907,0,1
Künstlerischer Leiter,40.1872883044,0.583333333333,0,1
Küper,14.3576367827,0.999142282189,0,1
Kürschner,65.6862745098,0.977822214143,0,1
Küster,67.8608515057,0.831815747188,0,1
Laborant,59.1680426246,0.69133192389,0,1
Lacklaborant,45.6225127914,0.646788990826,0,1
Lagerhalter,24.9768310941,0.981123259508,0,1
Landarbeiter,21.5765899789,0.920255183413,0,1
Landmaschinenmechaniker,0.488489461042,0.964383153926,0,1
Landschaftsarchitekt,13.8494826824,0.556085918854,0,1
Landwirt,21.5765899789,0.947547353084,0,1
Lebensmittelchemiker,45.3470549595,0.620185922975,0,1
Lebensmittelkontrolleur,35.3913466213,0.807817589577,0,1
Lehrer,70.4238331399,0.590604026846,0,1
Lehrrettungsassistent,63.6176386302,0.840818141396,0,1
Leichtflugzeugbauer,7.47075732134,0.744877726371,0,1
Lektor,72.8127671701,0.937646356582,0,1
Leuchtröhrenglasbläser,26.8707482993,0.813780260708,0,1
Lichtgestalter,12.5905136121,0.931875953228,0,1
Liedermacher,48.1166205576,0.878855860909,0,1
Listbroker,60.5296610169,0.993355481728,0,1
Literat,47.7832512315,0.958140352934,0,1
Literaturagent,60.5296610169,0.255172413793,0,1
Lotse,6.25990491284,0.940322843633,0,1
Luftverkehrskaufmann,35.0604490501,0.370473537604,0,1
Makler,39.2475851551,0.949072618673,0,1
Maler und Lackierer,5.53319493285,0.976098616731,0,1
Manager,21.1018907961,0.995921378054,0,1
Maschinen- und Anlagenführer,12.501779731,0.94217751629,0,1
Maschinenbauingenieur,9.54682779456,0.923859343214,0,1
Maschinenbautechniker,13.3411949814,0.952965235174,0,1
Maschinenführer,12.501779731,0.942365865308,0,1
Maschinenzusammensetzer,21.0325537037,0.862567811935,0,1
Maskenbildner,90.6659674882,0.247524752475,0,1
Masseur und medizinischer Bademeister,77.4982405505,0.542954490144,0,1
Mathematiker,34.0704906704,0.911314984709,0,1
Mathematisch-Technischer Assistent,12.3967931919,0.258409785933,0,1
Mathematisch-technischer Softwareentwickler,12.3967931919,0.81946403385,0,1
Matrose,3.8146208153,0.739750445633,0,1
Maurer,0.209680237638,0.997601519264,0,1
Maßschneider,84.4050647718,0.663572224285,0,1
Mechaniker,13.3411949814,0.958006470302,0,1
Mechatroniker,6.22845803015,0.915820029028,0,1
Mediaberater,54.6682417799,0.819945673263,0,1
Medienfachwirt,65.0971858153,0.149732620321,0,1
Mediengestalter,50.1462693284,0.699819168174,0,1
Medienkaufmann Digital und Print,65.0971858153,0.212636695018,0,1
Medientechnologe Druck,22.5987478195,0.730860675226,0,1
Medientechnologe Druckverarbeitung,36.6999465145,0.665850073493,0,1
